ยาสามัญ,สมุนไพร,ข้อบ่งใช้,ข้อควรระวัง
"Paracetamol
(​​acetaminophen)","['Turmeric (ขมิ้น) ', ' Elderberry (เอลเดอร์เบอร์รี )']","['ช่วยต้านการอักเสบ ลดปวดไขข้อ เสริมภูมิคุ้มกัน ลดไข้ ต้านไวรัส ', ' บรรเทาอาการปวดหัว ลดไข้ ลดอาการอักเสบ']","['ไม่ควรใช้ในเด็กและหญิงตั้งครรภ์ ไม่ควรใช้ในผู้ที่เป็นนิ่วในถุงน้ำดีหรือท่อน้ำดีอุดตัน ระมัดระวังในการกินร่วมกับยาละลายลิ่มเลือด ยาต้านการแข็งตัวของเลือด เพราะจะไปเสริมฤทธิ์ยา ', ' สามารถทานได้ทั้งเด็กและผู้ใหญ่ รับประทานในปริมาณที่เหมาะสม']"
Ibuprofen,"['Pomegranate (ทับทิม) ', ' Cranberry (แครนเบอร์รี่) ', ' Cinnamon (อบเชย)']","['ช่วยลดการอักเสบ ป้องกันไข้หวัด ป้องกันอาการอักเสบในช่องท้อง ', ' บรรเทาอาการไข้หวัด ', ' บรรเทาอาการปวด กระตุ้นการไหลเวียนของเลือด']","['ผู้ป่วยที่ต้องเข้ารับการผ่าตัดควรหยุดรับประทานทับทิมอย่างน้อย 2 สัปดาห์ เนื่องจากทับทิมส่งผลให้ความดันเลือดต่ำลง ', ' ไม่ควรใช้ในเด็กและหญิงตั้งครรภ์ ผู้ที่แพ้ยาแอสไพริน ผู้ที่กำลังใช้ยาวาร์ฟาริน ผู้ป่วยเบาหวาน ', ' เด็กที่มีอายุต่ำกว่า 2 ขวบ และสตรีมีครรภ์']"
Metformin,"['Elderberry (เอลเดอร์เบอร์รี) ', ' Turmeric (ขมิ้น)', 'tamarind(มะขาม)']","['ลดไขมันในเลือดและอาจช่วยควบคุมระดับน้ำตาลในเลือด ', ' ลดระดับน้ำตาลในเลือดลง', 'ยับยั้งการสร้างไขมันในร่างกาย']","['ไม่ควรใช้ในผู้มีโรคประจำตัวที่เกี่ยวกับระบบภูมิคุ้มกัน ผู้ที่ใช้ยาขับปัสสาวะ ', ' ผู้ป่วยโรคเบาหวานจึงรับประทานอย่างระมัดระวัง เพื่อป้องกันระดับน้ำตาลในเลือดต่ำเกินไป', 'การบริโภคมะขามมากเกินไปอาจทำให้ท้องเสีย']"
Amoxicillin,"['Elderberry (เอลเดอร์เบอร์รี) ', ' \nCamphor (การบูร)']","['ต้านเชื้อแบคทีเรีย บรรเทาอาการปวดศีรษะ อาการปวดข้อและกล้ามเนื้อ ', ' ต้านเชื้อแบคทีเรีย']","['สามารถทานได้ทั้งเด็กและผู้ใหญ่ รับประทานในปริมาณที่เหมาะสม ทานได้ทั้งเด็กและผู้ใหญ่แต่ควรปรึกษาแพทย์ก่อนบริโภค ', ' รับประทานการบูรเพียงเล็กน้อย ห้ามรับประทานมากกว่า 3.5 กรัม สตรีมีครรภ์ควรหลีกเลี่ยงการรับประทาน']"
Azithromycin,"['Elderberry (เอลเดอร์เบอร์รี) ', ' Turmeric (ขมิ้น)']","['ต้านเชื้อแบคทีเรีย\n', ' ฆ่าเชื้อ ต้านการอักเส']","['สามารถทานได้ทั้งเด็กและผู้ใหญ่ รับประทานในปริมาณที่เหมาะสม ทานได้ทั้งเด็กและผู้ใหญ่แต่ควรปรึกษาแพทย์ก่อนบริโภค ', ' สตรีมีครรภ์หรืออยู่ในช่วงให้นมบุตรไม่ควรรับประทานสารสกัดจากขมิ้นที่มีความเข้มข้นสูง']"
Lisinopril,"['Agarwood (ชาจากไม้กฤษณา) ', ' Gooseberry (มะขามป้อม) ', ' Cardamom (กระวาน)']","['ลดความดันโลหิตสูง ลดไขมันอุดตันในเส้นเลือด ', ' บำรุงเลือด ลดความดันเลือดสูง แก้น้ำเหลืองเสีย ', ' ควบคุมและลดความดันโลหิตสูง']","['ผู้ที่ต้องการรับประทานเพื่อบรรเทาอาการของโรค ควรอยู่ในการดูแลของแพทย์', 'ผู้ที่ควรระมัดระวัง ผู้ป่วยโรคเบาหวานที่ไม่สามารถควบคุมระดับน้ำตาลในเลือดได้ และผู้ที่ท้องเสียง่ายควรระวังการรับประทานมะขามป้อม', 'สตรีมีครรภ์และผู้ที่ให้นมบุตรควรเลี่ยงการรับประทานกระวานเป็นยา และผู้ป่วยนิ่วถุงน้ำดีควรหลีกเลี่ยงการบริโภคกระวานในปริมาณมาก']"
Omeprazole,Fenugreek (ลูกซัด),รักษาแผลในกระเพาะอาหาร,สตรีมีครรภ์ไม่ควรรับประทาน
Furosemide,"['Tamarind(มะขาม)', 'Elderberry (เอลเดอร์เบอร์รี)']","['ใช้แทนยาขับปัสสาวะ', 'ช่วยขับปัสสาวะ']","['การบริโภคมะขามมากเกินไปอาจทำให้ท้องเสีย', 'สามารถทานได้ทั้งเด็กและผู้ใหญ่ รับประทานในปริมาณที่เหมาะสม ทานได้ทั้งเด็กและผู้ใหญ่แต่ควรปรึกษาแพทย์ก่อนบริโภค']"
Prednisone,"['Kudzu (กวากเครือขาว)', 'Oregano (ออริกาโน)', 'Elderberry (เอลเดอร์เบอร์รี)', 'Moringa (มะรุม']","['ลดการอักเสบ ต่อต้านอนุมูลอิสระ', 'ลดการอักเสบ ต้านอนุมูลอิสระ ต่อต้านแบคทีเรียที่ดื้อต่อยาปฏิชีวิตนะ', 'ลดการอักเสบ', 'ลดการอักเสบ']","['ไม่ควรใช้กับผู้ที่มีอายุต่ำกว่า 20 ปี คุณแม่ตั้งครรภ์หรือกำลังให้นมบุตร ผู้ที่เป็นโรคมะเร็ง เนื้องอก ต่อมไทยรอยด์โต ซีสต์ โรคที่เกี่ยวกับมดลูกและรังไข่', 'ทำให้มีอาการปากแห้ง', 'สามารถทานได้ทั้งเด็กและผู้ใหญ่ รับประทานในปริมาณที่เหมาะสม', 'หญิงตั้งครรภ์และผู้ป่วยโรคเกาต์ไม่ควรรับประทานมากเกินไป']"
Warfarin,"['Arnica (ดอกไม้ภูเขา)', 'Kudzu (กวากเครือขาว)', 'Turmeric (ขมิ้น)']","['ต้านอักเสบและการควบคุมการไหลเวียนโลหิต', 'ขยายหลอดเลือดและเพิ่มการไหลเวียนของเลือดหัวใจ มีฤทธิ์ต้านการแข็งตัวของเลือด สามารถยับยั้งการรวมตัวของเกล็ดเลือด ลดความหนืดของเลือด', 'ชะลอกระบวนการแข็งตัวของเลือด']","['สำหรับใช้ภายนอกเท่านั้น หญิงตั้งครรภ์และให้นมบุตรไม่ควรใช้', 'ไม่ควรใช้กับผู้ที่มีอายุต่ำกว่า 20 ปี คุณแม่ตั้งครรภ์หรือกำลังให้นมบุตร ผู้ที่เป็นโรคมะเร็ง เนื้องอก ต่อมไทยรอยด์โต ซีสต์ โรคที่เกี่ยวกับมดลูกและรังไข่', 'สตรีมีครรภ์หรืออยู่ในช่วงให้นมบุตรไม่ควรรับประทานสารสกัดจากขมิ้นที่มีความเข้มข้นสูง']"
hydrochlorothiazide,Agarwood (กฤษณา),กฤษณา ใช้เนื้อไม้ บำรุงโลหิตในหัวใจ บำรุงตับและปอด แก้ลมซาง ลมอ่อนเพลีย ทำให้ชุ่มชื่นหัวใจ บำรุงกำลัง บำรุงธาตุ แก้ไข้ บำรุงโลหิต แก่นไม้ บำรุงโลหิต บำรุงหัวใจ บำรุงตับและปอด น้ำมันจากเมล็ด รักษาโรคผิวหนัง แก้โรคเรื้อน แก้มะเร็ง,แม้จะมีรายงานทางเภสัชวิทยา และพิษวิทยา ที่สนับสนุนในสรรพคุณของกฤษณา แต่อย่างไรก็ตามงานวิจัยเกี่ยวกับกฤษณายังมีน้อย และไม่มีงานวิจัยในคน จึงควรใช้ความระมัดระวังในการรับประทาน เช่น สตรีมีครรภ์ไม่ควรรับประทานหรือ ไม่ควรใช้เกินขนาดที่กำหนด หรือ ใช้ติดต่อกันเป็นระยะเวลานานจนเกินไปตลอดจนผู้ที่มีโรคประจำตัวควรปรึกษาแพทย์ก่อนใช้ เพราะอาจส่งผลกระทบต่อสุขภาพได้
metoprolol,Kudzu (รากคุดสุ),ราก Kudzu สามารถปรับปรุงการเผาผลาญออกซิเจนของกล้ามเนื้อหัวใจขยายหลอดเลือดและปรับปรุงจุลภาคจึงป้องกันและรักษากล้ามเนื้อหัวใจตายกล้ามเนื้อหัวใจขาดเลือดกล้ามเนื้อหัวใจขาดเลือดเต้นผิดปกติความดันโลหิตสูงและหลอดเลือด,เมื่อใช้ในปริมาณเหมาะสม รากคุดสุมักปลอดภัยสำหรับคนส่วนใหญ่ แต่บางรายอาจมีอาการท้องผูก ท้องเสีย วูบวาบ หรือไมเกรน เนื่องจากมีไฟโตเอสโตรเจน อาจส่งผลต่อระดับฮอร์โมน ดังนั้นสตรีมีครรภ์ และผู้ให้นมบุตรควรหลีกเลี่ยง หรือใช้ด้วยความระมัดระวัง
atenolol,Agarwood (กฤษณา),กฤษณา ใช้เนื้อไม้ บำรุงโลหิตในหัวใจ บำรุงตับและปอด แก้ลมซาง ลมอ่อนเพลีย ทำให้ชุ่มชื่นหัวใจ บำรุงกำลัง บำรุงธาตุ แก้ไข้ บำรุงโลหิต แก่นไม้ บำรุงโลหิต บำรุงหัวใจ บำรุงตับและปอด น้ำมันจากเมล็ด รักษาโรคผิวหนัง แก้โรคเรื้อน แก้มะเร็ง,แม้จะมีรายงานทางเภสัชวิทยา และพิษวิทยา ที่สนับสนุนในสรรพคุณของกฤษณา แต่อย่างไรก็ตามงานวิจัยเกี่ยวกับกฤษณายังมีน้อย และไม่มีงานวิจัยในคน จึงควรใช้ความระมัดระวังในการรับประทาน เช่น สตรีมีครรภ์ไม่ควรรับประทานหรือ ไม่ควรใช้เกินขนาดที่กำหนด หรือ ใช้ติดต่อกันเป็นระยะเวลานานจนเกินไปตลอดจนผู้ที่มีโรคประจำตัวควรปรึกษาแพทย์ก่อนใช้ เพราะอาจส่งผลกระทบต่อสุขภาพได้
diazepam,Lemongrass (ตะไคร้ ),"ตะไคร้ บรรเทาอาการปวดและการอักเสบ ลดอาการปวดเมื่อย แก้เคล็ดขัดยอก
แก้อาการนอนไม่หลับ ชาตะไคร้ช่วยทำให้รู้สึกผ่อนคลายกล้ามเนื้อจากความเมื่อยล้าและยังช่วยบำรุงเส้นประสาทจึงทำให้นอนหลับสบายขึ้น บำรุงระบบประสาทและสมอง ตะไคร้เป็นยาบำรุงระบบประสาทชั้นดี บรรเทาความเครียด ช่วยคลายความวิตกกังวลและความเหนื่อยล้าที่เกิดจากความเครียด","ทำให้เสี่ยงแท้งได้เพราะตะไคร้มีฤทธิ์ทำให้กล้ามเนื้อเรียบบีบตัว ดังนั้นคนที่กำลังตั้งครรภ์จึงไม่ควรกินตะไคร้เด็ดขาด 
อันตรายกับผู้ป่วยโรคบางชนิด ในผู้ที่ป่วยโรคประจำตัวบางชนิด ก็อาจเป็นอันตรายจากการกินตะไคร้ได้เช่นกัน"
lorazepam,kanna (คันนา),"ส่วนประกอบหลักใน Kanna คือ Echinacea ซึ่งไม่มีฤทธิ์หลอนประสาท แต่สามารถปรับปรุงอารมณ์ ลดความวิตกกังวล คลายความตึงเครียด และระงับความอยากอาหาร
เอ็กไคนาเซียช่วยลดเซโรโทนินในสมองเป็นหลัก และเมื่อใช้ในปริมาณที่เหมาะสม จะทำให้เกิดความรู้สึกสบายที่ทำให้มึนเมา ซึ่งช่วยลดภาวะซึมเศร้าทางอารมณ์หรือความเครียดได้","ในบางรายอาจมีผลข้างเคียง เช่น คลื่นไส้ ปวดศีรษะ วิตกกังวล นอนไม่หลับ หรือท้องเสีย
การใช้ในปริมาณมากอาจทำให้เกิดอาการประสาทหลอนหรือความสับสนได้"
alprazolam,Chamomile (คาโมมายล์),คาโมมายล์ หนึ่งในดอกไม้ที่คนนิยมนำมาทำให้แห้งแล้วชงดื่มเป็นชา หรือนำมาเป็นส่วนประกอบของน้ำมันหอมระเหย โดยเชื่อว่าอาจช่วยให้นอนหลับได้ดียิ่งขึ้น คลายความวิตกกังวล บำรุงระบบย่อยอาหาร และยังอุดมไปด้วยสารต้านอนุมูลอิสระที่มีคุณสมบัติต้านมะเร็ง,คนส่วนใหญ่บริโภคคาโมมายล์ในรูปแบบชา ซึ่งสามารถดื่มได้ทุกเพศทุกวัย แต่อาจทำให้รู้สึกง่วงซึมหลังดื่มได้ และหากดื่มในปริมาณมากเกินไปก็อาจทำให้อาเจียน ส่วนเด็กเล็ก หญิงตั้งครรภ์ หญิงที่อยู่ในช่วงให้นมบุตร และผู้ที่แพ้คาโมมายล์หรือพืชในตระกูลเดซี่ ต้องระมัดระวังในการใช้หรือการดื่มกินคาโมมายล์มากเป็นพิเศษ
doxycycline,Echinacea (ดอกอิชิเนเชีย),ดอกอิชิเนเชียอาจช่วยบรรเทาอาการของไข้หวัดและการติดเชื้อบางชนิดในร่างกาย เช่น การติดเชื้อไวรัสเอชพีวีและการติดเชื้อในช่องคลอด เนื่องจากข้อมูลวิจัยบางส่วนที่ทำในหลอดทดลองพบว่า Echinacea กระตุ้นการทำงานของระบบภูมิคุ้มกันจึงอาจช่วยบรรเทาการอักเสบภายในร่างกาย,Echinacea อาจส่งผลให้เกิดผลข้างเคียงในผู้ใช้บางราย อาทิ เกิดผื่นคัน มีไข้ ปากแห้ง การรับรสผิดปกติ ลิ้นชา เจ็บคอ เวียนหัวหรือปวดหัว นอนไม่หลับ ปวดตามกล้ามเนื้อหรือข้อ คลื่นไส้ อาเจียนหรือท้องเสีย หากพบอาการดังกล่าว ควรไปพบแพทย์เพื่อรับการรักษาโดยเร็วที่สุด
trazodone,Brahmi (พรมมิ),พรมมิช่วยบรรเทาความเครียด ลดความวิตกกังวล เนื่องจากช่วยลดระดับฮอร์โมนคอร์ติซอล (Cortisol) ซึ่งเป็นตัวการที่ทำให้เกิดความเครียด และวิตกกังวล,"ผู้ที่มีโรคประจำตัวเกี่ยวกับตับและไต ควรระมัดระวังในการใช้พรมมิ และควรปรึกษาแพทย์ หรือ ผู้เชี่ยวชาญ
ในการใช้พรมมิ อาจพบอาการข้างเคียงในบางราย เช่น ระคายเคืองในระบบทางเดินอาหาร คลื่นไส้อาเจียน"
zolpidem,brahmi (พรมมิ),พรมมิช่วยบรรเทาความเครียด ลดความวิตกกังวล เนื่องจากช่วยลดระดับฮอร์โมนคอร์ติซอล (Cortisol) ซึ่งเป็นตัวการที่ทำให้เกิดความเครียด และวิตกกังวล,"ผู้ที่มีโรคประจำตัวเกี่ยวกับตับและไต ควรระมัดระวังในการใช้พรมมิ และควรปรึกษาแพทย์ หรือ ผู้เชี่ยวชาญ
ในการใช้พรมมิ อาจพบอาการข้างเคียงในบางราย เช่น ระคายเคืองในระบบทางเดินอาหาร คลื่นไส้อาเจียน"
bupropion,brahmi(พรมมิ),พรมมิช่วยบรรเทาความเครียด ลดความวิตกกังวล เนื่องจากช่วยลดระดับฮอร์โมนคอร์ติซอล (Cortisol) ซึ่งเป็นตัวการที่ทำให้เกิดความเครียด และวิตกกังวล,"ผู้ที่มีโรคประจำตัวเกี่ยวกับตับและไต ควรระมัดระวังในการใช้พรมมิ และควรปรึกษาแพทย์ หรือ ผู้เชี่ยวชาญ
ในการใช้พรมมิ อาจพบอาการข้างเคียงในบางราย เช่น ระคายเคืองในระบบทางเดินอาหาร คลื่นไส้อาเจียน"
gabapentin,"['Agarwood (ไม้กฤษณา)', 'Brahmi (พรมมิ)', 'Elderberry (เอลเดอร์เบอร์รี)']","['บำรุงหัวใจและระบบประสาทช่วยลดความเครียดและความวิตกกังวล ใช้สำหรับลดอาการปวด โดยเฉพาะอาการปวดท้อง อาการเกร็งกล้ามเนื้อ มีอาการปวดในระบบทางเดินปัสสาวะ และยังใช้รักษาโรคลมชัก แก้อาหารหอบ', 'บรรเทาความเครียด ลดความวิตกกังวล ', 'บรรเทาอาการปวดศีรษะ ความเครียด และอาการปวดข้อและกล้ามเนื้อ ลดอาการอักเสบในร่างกาย']","['หากผู้ที่โรคประจำตัว หรือผู้ที่ต้องการรับประทานเพื่อบรรเทาอาการของโรค ควรอยู่ในการดูแลของแพทย์ และเลือกสินค้าที่ผ่านกระบวนการผลิตเพื่อการรับประทานโดยเฉพาะ', 'การรับประทานสารสกัดพรมมิอาจเกิดผลข้างเคียงในบางราย เช่น ระคายเคืองระบบทางเดินอาหาร คลื่นไส้อาเจียน', 'กลุ่มที่ไม่เหมาะแก่การรับประทาน ได้แก่ หญิงตั้งครรภ์หรือกำลังให้นมบุตร, เด็กที่มีอายุต่ำกว่า 5 ปี โดยเฉพาะคนที่มีโรคภูมิแพ้ตัวเอง']"
ciprofloxacin,"['Longan (ลำไย)', 'Patchouli (พิมเสน)']","['รักษาโรคกระดูกและข้อต่อบางชนิด รักษาโรคกระดูกพรุน', 'มีคุณสมบัติฆ่าเชื้อรา และแบคทีเรีย รักษาโรคผิวหนังโดยทาบริเวณที่มีอาการเบาๆ']","['ควรรับประทานในปริมาณที่เหมาะสม', 'โปรดใช้ด้วยความระมัดระวัง ห้ามรับประทาน เก็บในที่แห้งและเย็น']"
clopidogrel,"['Kudzu (รากคุดสุ)', 'Elderberry (เอลเดอร์เบอร์รี)']","['ขยายหลอดเลือดและเพิ่มการไหลเวียนของเลือดหัวใจ มีฤทธิ์ต้านการแข็งตัวของเลือด สามารถยับยั้งการรวมตัวของเกล็ดเลือด ลดความหนืดของเลือด และส่งเสริมวงจรไมโครของเลือด สามารถลดความเสี่ยงของโรคหัวใจและหลอดเลือด รักษาความดันโลหิตสูง โคเลสเตอรอลสูงและน้ำตาลในเลือดสูง', 'ลดไขมันในเลือดและช่วยควบคุมระดับน้ำตาลในเลือด ช่วยลดความเสี่ยงของโรคหัวใจ']","['อาจลดประสิทธิภาพของยาคุมกำเนิด, ชะลอการแข็งตัวของเลือด  และ การรับประทานคุดสุร่วมกับยารักษาโรคเบาหวานอาจทำให้น้ำตาลในเลือดต่ำเกินไป', 'หญิงตั้งครรภ์หรือกำลังให้นมบุตร, เด็กที่มีอายุต่ำกว่า 5 ปี ไม่ควรรับประทาน']"
albuterol,"['agarwood (กฤษณา)', 'Cloves (กานพลู)']","['ช่วยรักษาหอบหืด', 'ช่วยรักษาโรคหืดหอบ (ดอกตูม)']","['หากผู้ที่โรคประจำตัว หรือผู้ที่ต้องการรับประทานเพื่อบรรเทาอาการของโรค ควรอยู่ในการดูแลของแพทย์', 'ห้ามใช้ในผู้ที่มีประวัติแพ้กานพลู สตรีมีครรภ์ สตรีให้นมบุตร และ ระวังการใช้ในผู้ป่วยเบาหวาน เนื่องจากมีฤทธิ์ลดน้ำตาลในเลือด']"
simvastatin,"['Kudzu (รากคุดสุ)', 'Agarwood (กฤษณา)', 'Fenugreek (ลูกซัด)']","['รักษาระดับไขมันในเลือด', 'ช่วยลดความดันโลหิตสูง ลดไขมันอุดตันในเส้นเลือด', 'ลดระดับคอเลสเตอรอลในเลือด']","['อาจลดประสิทธิภาพของยาคุมกำเนิด, ชะลอการแข็งตัวของเลือด  และ การรับประทานคุดสุร่วมกับยารักษาโรคเบาหวานอาจทำให้น้ำตาลในเลือดต่ำเกินไป', 'หากผู้ที่โรคประจำตัว หรือผู้ที่ต้องการรับประทานเพื่อบรรเทาอาการของโรค ควรอยู่ในการดูแลของแพทย์', 'สตรีมีครรภ์ แม่ที่ต้องในนมบุตร เด็ก ผู้ที่แพ้ถั่ว และ ผู้ป่วยเบาหวาน ไม่ควรรับประทาน']"
fluoxetine,"['Agarwood (กฤษณา)', 'Elderberry (เอลเดอร์เบอร์รี)']","['บำรุงหัวใจและระบบประสาท ช่วยลดความเครียดและความวิตกกังวล', 'บรรเทาอาการปวดศีรษะ ความเครียด']","['หากรับประทานเพื่อบรรเทาอาการของโรค ควรอยู่ในการดูแลของแพทย์', ' หญิงตั้งครรภ์หรือกำลังให้นมบุตร, เด็กที่มีอายุต่ำกว่า 5 ปีไม่ควรรับประทาน']"
citalopram,"['Agarwood (กฤษณา)', 'Fenugreek (ลูกซัด)', 'Kanna (คันนา)', 'Longan (ลำไย)']","['ช่วยบำรุงสมอง ใช้ระงับอารมณ์โมโหดุร้าย ช่วยผ่อนคลายความตึงเครียดและความวิตกกังวล ทำให้มีอารมณ์สุนทรีย์ (ชิ้นไม้)', 'รักษาโรคทางระบบประสาท', 'ช่วยผ่อนคลายอารมณ์ ลดความเครียด ความกังวลและซึมเศร้า', 'ลดความเครียด ทำให้รู้สึกผ่อนคลาย ลดอาการเหนื่อยล้า และอ่อนเพลีย']","['หากผู้ที่โรคประจำตัว หรือผู้ที่ต้องการรับประทานเพื่อบรรเทาอาการของโรค ควรอยู่ในการดูแลของแพทย์', 'สตรีมีครรภ์ แม่ที่ต้องให้นมบุตร เด็ก ผู้ที่แพ้ถั่ว ผู้ป่วยเบาหวาน ไม่ควรรับประทาน', 'การใช้ยาในปริมาณมากอาจทำให้มึนงง', 'เมื่อรับประทานมากอาจจะทำให้รู้สึกเจ็บคอ ไอ มีเสมหะ หรือเกิดแผลอักเสบในทางเดินอาหาร  และ ผู้ป่วยเบาหวาน ผู้ที่มีอาการท้องผูก ท้องเสียควรหลีกเลี่ย']"
Insulin,"['Flaxseed (เมล็ดแฟลกซ์)', 'Turmeric (ขมิ้นชัน)', 'Elderberry (เอลเดอร์เบอร์รี)', 'Saffron (หญ้าฝรั่น)']","['ควบคุมระดับน้ำตาลในเลือด', 'ช่วยควบคุมระดับน้ำตาลในเลือด และลดความเครียดที่สามารถช่วยลดระดับน้ำตาลในเลือด บรรเทาอาการของโรคเบาหวาน', 'ลดไขมันในเลือดและช่วยควบคุมระดับน้ำตาลในเลือด ช่วยลดความเสี่ยงของโรคหัวใจ และเบาหวานชนิดที่ 2', 'ช่วยลดระดับน้ำตาลในเลือด และยังช่วยเพิ่มความไวของอินซูลิน']","['หญิงตั้งครรภ์ ผู้ที่เป็นนิ่วในถุงน้ำดี ผู้ป่วยความดันโลหิตสูง ผู้ป่วยโรคถุงผนังลำไส้อักเสบ ผู้ป่วยโรคไต ควรปรึกษาแพทย์ก่อนรับประทานเมล็ดแฟลกซ์', ' ไม่ควรใช้ในหญิงตั้งครรภ์ ผู้ที่เป็นนิ่วในถุงน้ำดี และ ระมัดระวังในการกินร่วมกับยาละลายลิ่มเลือด ยาต้านการแข็งตัวของเลือด เพราะมีฤทธิ์เสริมยา', 'หญิงตั้งครรภ์หรือกำลังให้นมบุตร, เด็กที่มีอายุต่ำกว่า 5 ปีไม่ควรรับประทาน', 'ควรบริโภคหญ้าฝรั่นไม่เกิน 1.5 กรัมต่อวัน']"
tramadol,"['Turmeric (ขมิ้นชัน)', 'Oregano (น้ำมันออริกาโน)']","['บรรเทาอาการอักเสบของข้อในผู้ป่วยข้อเข่าเสื่อม', 'ต้านการอักเสบ บรรเทาความเจ็บปวดและเร่งการหายของบาดแผล']","['ไม่ควรใช้ในหญิงตั้งครรภ์ ผู้ที่เป็นนิ่วในถุงน้ำดี และ ระมัดระวังในการกินร่วมกับยาละลายลิ่มเลือด ยาต้านการแข็งตัวของเลือด เพราะจะไปเสริมฤทธิ์ยา ', 'ผู้แพ้ออริกาโนควรหลีกเลี่ยง']"
naproxen,"['Elderberry (เอลเดอร์เบอร์รี)', 'Turmeric (ขมิ้นชัน)', 'Fenugreek (ลูกซัด)']","['บรรเทาอาการปวดศีรษะ ความเครียด และอาการปวดข้อและกล้ามเนื้อ ลดอาการอักเสบในร่างกาย', 'รักษาอาการปวดหรืออักเสบเนื่องจากไขข้ออักเสบ', 'รักษาอาการเจ็บปวดและอักเสบเฉพาะจุด']","['หญิงตั้งครรภ์หรือกำลังให้นมบุตร, เด็กที่มีอายุต่ำกว่า 5 ปี ไม่ควรรับประทาน', 'ไม่ควรใช้ในหญิงตั้งครรภ์ ผู้ที่เป็นนิ่วในถุงน้ำดี และ ระมัดระวังในการกินร่วมกับยาละลายลิ่มเลือด ยาต้านการแข็งตัวของเลือด เพราะจะไปเสริมฤทธิ์ยา\n', 'สตรีมีครรภ์ แม่ที่ต้องในนมบุตร เด็ก ผู้ที่แพ้ถั่ว ผู้ป่วยเบาหวาน ไม่ควรรับประทาน']"
